"300.00000,0.85351"
"302.00000,-0.09590"
"304.00000,16.82559"
"306.00000,10.66672"
"308.00000,-3.23517"
"310.00000,1.08481"
"312.00000,15.43543"
"314.00000,44.86989"
"316.00000,43.48658"
"318.00000,23.14961"
"320.00000,30.09931"
"322.00000,54.56635"
"324.00000,87.14399"
"326.00000,112.27045"
"328.00000,126.71059"
"330.00000,143.55373"
"332.00000,164.57509"
"334.00000,181.59430"
"336.00000,197.40392"
"338.00000,216.27661"
"340.00000,235.19109"
"342.00000,283.33337"
"344.00000,340.82965"
"346.00000,363.21536"
"348.00000,338.03204"
"350.00000,303.61209"
"352.00000,261.98663"
"354.00000,212.92836"
"356.00000,172.98564"
"358.00000,157.22847"
"360.00000,144.58815"
"362.00000,129.50815"
"364.00000,124.77064"
"366.00000,134.45743"
"368.00000,131.94847"
"370.00000,113.93131"
"372.00000,91.19196"
"374.00000,78.73727"
"376.00000,85.69217"
"378.00000,92.97327"
"380.00000,80.58893"
"382.00000,60.16207"
"384.00000,56.44403"
"386.00000,53.97893"
"388.00000,55.74604"
"390.00000,65.23508"
"392.00000,75.30460"
"394.00000,78.14586"
"396.00000,88.33949"
"398.00000,125.86752"
"400.00000,162.35156"
"402.00000,158.03633"
"404.00000,165.88866"
"406.00000,227.73911"
"408.00000,308.63788"
"410.00000,369.78546"
"412.00000,437.80453"
"414.00000,513.88257"
"416.00000,585.40057"
"418.00000,661.34802"
"420.00000,756.42682"
"422.00000,847.24921"
"424.00000,950.39233"
"426.00000,1061.66687"
"428.00000,1174.01563"
"430.00000,1305.86218"
"432.00000,1442.62683"
"434.00000,1559.13489"
"436.00000,1665.71033"
"438.00000,1785.07910"
"440.00000,1889.16248"
"442.00000,1973.65491"
"444.00000,2029.08032"
"446.00000,2038.72949"
"448.00000,2001.91150"
"450.00000,1947.17468"
"452.00000,1862.86816"
"454.00000,1729.91992"
"456.00000,1564.77051"
"458.00000,1415.19275"
"460.00000,1270.08374"
"462.00000,1114.79675"
"464.00000,956.70612"
"466.00000,813.89532"
"468.00000,689.51648"
"470.00000,579.24457"
"472.00000,473.96976"
"474.00000,382.98276"
"476.00000,338.33432"
"478.00000,280.38220"
"480.00000,211.08130"
"482.00000,164.79967"
"484.00000,133.94882"
"486.00000,107.21638"
"488.00000,82.03992"
"490.00000,64.30126"
"492.00000,55.71097"
"494.00000,43.27896"
"496.00000,25.21724"
"498.00000,19.83539"
"500.00000,37.70059"
"502.00000,60.63367"
"504.00000,63.90400"
"506.00000,54.07891"
"508.00000,53.74153"
"510.00000,74.90005"
"512.00000,97.19807"
"514.00000,70.36441"
"516.00000,39.42070"
"518.00000,46.72543"
"520.00000,57.39954"
"522.00000,73.60412"
"524.00000,77.89653"
"526.00000,82.35524"
"528.00000,100.78090"
"530.00000,95.05863"
"532.00000,96.22854"
"534.00000,103.65882"
