wavelength,intensity
300.0,203.84182884725143
302.0,197.69712195897537
304.0,180.1176321385347
306.0,158.7810791340559
308.0,158.0233197719609
310.0,164.09112357423888
312.0,167.66386537122463
314.0,172.44181046177692
316.0,155.16404046129773
318.0,140.8855505676465
320.0,125.65396937069453
322.0,127.23358893540302
324.0,145.8793746487559
326.0,184.5860293854936
328.0,183.01398080172757
330.0,152.17894064152333
332.0,148.6756300139391
334.0,166.01950103308377
336.0,172.0872149377732
338.0,189.33722111523525
340.0,209.71619877523088
342.0,235.9575718551305
344.0,253.42633398741614
346.0,249.2748432753927
348.0,198.5631865049633
350.0,195.6975923424953
352.0,190.49846941860795
354.0,178.63276184691566
356.0,149.46215297529454
358.0,122.51122964916904
360.0,138.60346429158565
362.0,155.70482192872544
364.0,162.45836238786995
366.0,114.27833244103662
368.0,89.78178239791295
370.0,123.278020630983
372.0,128.55692746013457
374.0,111.99897114800626
376.0,95.57113803994304
378.0,89.56723238125336
380.0,87.4039779720878
382.0,72.69592233428631
384.0,78.7839380653494
386.0,70.02006005164502
388.0,67.69478407498822
390.0,49.56519255776905
392.0,36.90874656421377
394.0,42.92901589640051
396.0,67.01730662032902
398.0,77.53499116360305
400.0,69.1635279161398
402.0,47.15903388972992
404.0,69.05737910314771
406.0,85.22328492553534
408.0,94.37604416286838
410.0,71.97365994001191
412.0,73.52440397916646
414.0,57.24068883635327
416.0,63.88145771867772
418.0,67.37587891703814
420.0,73.85564001820032
422.0,40.64520540828895
424.0,24.833499400805565
426.0,33.51530730984203
428.0,48.92086146717148
430.0,84.60978985787325
432.0,64.88627438034723
434.0,40.38120371560603
436.0,33.90132847366269
438.0,40.06258007946768
440.0,50.5730848678378
442.0,71.9313888059254
444.0,81.73216687259647
446.0,74.74730563121129
448.0,57.78313142065029
450.0,56.82153783411039
452.0,54.41099224875231
454.0,39.92335644806317
456.0,46.38652499890651
458.0,89.66651329942856
460.0,112.63505424512192
462.0,105.48992143422785
464.0,80.26937051385339
466.0,98.31664174737325
468.0,102.19445430339276
470.0,85.86034431859946
472.0,76.11674719234189
474.0,65.82129388893803
476.0,72.48258482316925
478.0,78.22422959857998
480.0,84.03641793699086
482.0,126.38911151946199
484.0,106.82281494221301
486.0,53.36749042077193
488.0,37.864835132998635
490.0,62.1288396293721
492.0,69.6065034421068
494.0,52.14073084645581
496.0,30.84685203945505
498.0,34.57415713007964
500.0,66.56027064932529
502.0,68.82752087690162
504.0,78.21907497983386
506.0,77.22271195372382
508.0,87.74226825295744
510.0,69.23251054671769
512.0,53.19741365486541
514.0,56.2700625383262
516.0,79.04009390795484
518.0,94.27834423240182
520.0,51.18792561117798
522.0,32.73673388131104
524.0,60.76277632259659
526.0,79.27975919734644
528.0,90.25987134911624
530.0,54.79389965667503
532.0,63.553917340818494
534.0,79.72788416632594
536.0,77.12795267296566
538.0,109.70811969013417
540.0,126.91665607321045
542.0,109.1837132043759
544.0,88.49503969098708
546.0,97.95393106771351
548.0,82.14628445304585
550.0,84.66050496748129
552.0,70.553159457989
554.0,30.027809873785785
556.0,41.3700589877556
558.0,43.69431706247108
560.0,50.64203359811246
562.0,72.27208281765485
564.0,103.64889918297307
566.0,90.03907361119926
568.0,68.00229620713102
570.0,79.09889620406051
572.0,82.54735772935572
574.0,88.34515324485217
576.0,104.65164018584832
578.0,78.79831716413588
580.0,46.765991211808355
582.0,61.931332183361995
584.0,67.39652081389424
586.0,50.924238389246526
588.0,51.75145590109137
590.0,65.43567346311997
592.0,94.13949518314564
594.0,132.8689080622717
596.0,134.53746723555332
598.0,115.3796441351165
600.0,107.7429814054544
602.0,99.83535260568044
604.0,93.09780943535148
606.0,120.07580985591252
608.0,120.054384529994
610.0,115.41230956410678
612.0,88.7270984791861
614.0,85.88822676949297
616.0,116.58542020625234
618.0,136.00128877151553
620.0,127.65218172370031
622.0,115.13749015502943
624.0,102.12506692941203
626.0,96.27739410434313
628.0,104.12352160106762
630.0,110.68138852969521
632.0,120.86865903341311
634.0,115.93299859922688
636.0,120.3249803993059
638.0,165.15435477963447
640.0,162.96121818768088
642.0,161.41558928893386
644.0,166.9020731886641
646.0,151.22559316885796
648.0,107.47136087284753
650.0,143.45555035202895
652.0,155.04591864765473
654.0,104.76233364343254
656.0,99.57371031985699
658.0,118.77915545203457
660.0,109.7632791937992
662.0,106.09939952464292
664.0,132.83685258305698
666.0,144.40101437528529
668.0,196.376167541273
670.0,277.48649525082453
672.0,344.88292302066236
674.0,416.363888542132
676.0,595.0214528072096
678.0,969.7862639397928
680.0,1501.5880748453321
682.0,2031.436220700961
684.0,2348.2853030316846
686.0,2310.150126779886
688.0,1943.954917263697
690.0,1442.1512928411312
692.0,999.6480036830319
694.0,710.5793518208776
696.0,553.9244814473424
698.0,488.0324709345468
700.0,464.0392752606355
702.0,433.44623814331135
704.0,403.7338128983096
706.0,389.47812859054875
708.0,364.7511826137927
710.0,322.6176889089116
712.0,307.14246537611484
714.0,281.40679956095846
716.0,270.46376296710855
718.0,263.71110033211204
720.0,290.19209120654835
722.0,293.5344370299328
724.0,295.7882722570142
726.0,340.3418337346045
728.0,442.20996570922404
730.0,564.3802147838898
732.0,694.1087825811053
734.0,914.8562543641025
736.0,1222.1200403373728
738.0,1501.9741452571814
740.0,1611.7914060607657
742.0,1519.778680432555
744.0,1257.5036941535031
746.0,971.0398263969093
748.0,723.9150927538558
750.0,547.9416642998829
752.0,462.51603603995335
754.0,399.28668542639025
756.0,341.9896462996465
758.0,352.3347398457956
760.0,350.7253682333461
762.0,384.2653485486154
764.0,446.67754538269793
766.0,529.5256535407965
768.0,661.8917969925599
770.0,836.0061912272693
772.0,1074.862527573663
774.0,1303.9170064938726
776.0,1385.7748958287468
778.0,1274.8794226935454
780.0,1034.2110713645607
782.0,790.7390323590472
784.0,605.9956891788693
786.0,483.2124429328306
788.0,403.2426905958986
790.0,346.7991188787861
792.0,291.09523815828027
794.0,265.36670697784143
796.0,257.9381313635742
798.0,254.93790100903564
800.0,236.6544080554523
802.0,216.7026165863966
804.0,213.28254387586244
806.0,256.7180919218611
808.0,305.2539864120325
810.0,317.7506587468653
812.0,357.5283998533934
814.0,376.8107584772116
816.0,380.04988885446875
818.0,436.76251811443586
820.0,364.5334256265394
822.0,268.72461882799337
824.0,232.5848755980296
826.0,210.14920126805956
828.0,185.08270002826606
830.0,130.392788731576
832.0,115.06370048013967
834.0,143.667408517064
836.0,129.15121348834225
838.0,129.29572452507614
840.0,97.72929056253841
842.0,97.63737521036053
844.0,118.49113556560349
846.0,99.83517745576151
848.0,97.73437703523936
850.0,114.44586681446783
852.0,118.05635201703232
854.0,86.76716630538209
856.0,90.47328991457177
858.0,115.18291833375719
860.0,108.65122056044932
862.0,88.15312522663359
864.0,99.88318145894124
866.0,95.49900760833916
868.0,80.34374051330676
870.0,88.10892600959058
872.0,72.74519189219085
874.0,73.02604232745102
876.0,114.43264138994736
878.0,120.80303827401043
880.0,88.37440166508418
