"300.00000,3.14003"
"302.00000,-0.01558"
"304.00000,0.52394"
"306.00000,-0.92835"
"308.00000,17.79825"
"310.00000,39.48240"
"312.00000,24.24602"
"314.00000,29.79376"
"316.00000,39.92094"
"318.00000,43.86785"
"320.00000,51.81333"
"322.00000,54.34820"
"324.00000,60.45051"
"326.00000,74.36996"
"328.00000,95.75471"
"330.00000,118.87309"
"332.00000,126.59795"
"334.00000,135.93906"
"336.00000,154.71974"
"338.00000,166.45952"
"340.00000,162.84352"
"342.00000,193.71669"
"344.00000,240.69325"
"346.00000,261.97708"
"348.00000,249.80804"
"350.00000,215.99074"
"352.00000,181.88699"
"354.00000,155.51329"
"356.00000,132.70580"
"358.00000,111.79173"
"360.00000,96.69109"
"362.00000,90.34958"
"364.00000,89.64417"
"366.00000,91.26888"
"368.00000,100.48097"
"370.00000,99.77718"
"372.00000,82.97194"
"374.00000,74.95219"
"376.00000,102.25343"
"378.00000,112.71966"
"380.00000,92.14599"
"382.00000,72.61501"
"384.00000,76.11678"
"386.00000,67.51800"
"388.00000,56.18142"
"390.00000,49.30469"
"392.00000,43.82616"
"394.00000,43.39745"
"396.00000,43.46982"
"398.00000,42.27524"
"400.00000,46.89013"
"402.00000,64.22218"
"404.00000,86.56992"
"406.00000,112.18153"
"408.00000,117.76664"
"410.00000,108.22037"
"412.00000,135.66460"
"414.00000,172.72885"
"416.00000,208.26308"
"418.00000,233.87102"
"420.00000,247.34192"
"422.00000,284.92859"
"424.00000,330.11273"
"426.00000,369.66006"
"428.00000,417.45767"
"430.00000,484.62161"
"432.00000,528.20740"
"434.00000,560.28918"
"436.00000,603.85400"
"438.00000,650.40784"
"440.00000,678.67535"
"442.00000,697.73560"
"444.00000,718.40057"
"446.00000,734.56079"
"448.00000,730.83661"
"450.00000,711.76080"
"452.00000,676.38147"
"454.00000,627.93628"
"456.00000,574.03735"
"458.00000,515.04956"
"460.00000,462.10818"
"462.00000,411.94516"
"464.00000,364.12177"
"466.00000,329.01474"
"468.00000,285.77670"
"470.00000,239.87338"
"472.00000,201.00519"
"474.00000,166.92297"
"476.00000,135.49959"
"478.00000,114.56487"
"480.00000,114.65807"
"482.00000,125.70785"
"484.00000,117.17380"
"486.00000,87.12834"
"488.00000,66.18228"
"490.00000,59.29677"
"492.00000,44.89895"
"494.00000,25.36063"
"496.00000,21.81535"
"498.00000,33.96809"
"500.00000,42.97597"
"502.00000,39.34641"
"504.00000,42.85231"
"506.00000,48.93061"
"508.00000,53.93957"
"510.00000,53.68729"
"512.00000,30.24448"
"514.00000,21.27824"
"516.00000,29.53776"
"518.00000,40.93245"
"520.00000,53.67456"
"522.00000,46.63485"
"524.00000,48.57097"
"526.00000,69.71387"
"528.00000,80.23153"
"530.00000,60.94802"
"532.00000,51.15277"
"534.00000,61.11659"
"536.00000,76.96326"
"538.00000,84.89939"
"540.00000,64.05168"
"542.00000,43.97836"
"544.00000,38.78741"
"546.00000,46.22369"
"548.00000,75.65459"
"550.00000,63.68974"
"552.00000,44.07873"
"554.00000,50.31817"
"556.00000,50.48613"
"558.00000,70.29318"
"560.00000,63.40915"
"562.00000,46.96522"
"564.00000,55.98381"
"566.00000,40.08681"
"568.00000,79.63745"
"570.00000,120.85445"
"572.00000,105.91318"
"574.00000,89.52204"
"576.00000,98.61826"
"578.00000,127.63036"
"580.00000,151.32985"
"582.00000,155.42647"
"584.00000,160.97189"
"586.00000,193.97012"
"588.00000,228.33418"
"590.00000,249.37955"
"592.00000,279.73260"
"594.00000,310.45389"
"596.00000,343.77100"
"598.00000,382.27487"
"600.00000,422.28696"
"602.00000,461.73578"
"604.00000,507.89685"
"606.00000,527.68817"
"608.00000,526.08826"
"610.00000,539.21228"
"612.00000,513.51111"
"614.00000,481.56821"
"616.00000,476.95496"
"618.00000,483.56482"
"620.00000,460.96759"
"622.00000,401.75049"
"624.00000,315.90213"
"626.00000,235.91429"
"628.00000,189.64201"
"630.00000,150.50516"
"632.00000,125.17061"
"634.00000,120.51577"
"636.00000,122.63661"
"638.00000,117.74428"
"640.00000,137.73967"
"642.00000,155.87309"
"644.00000,154.07852"
"646.00000,142.47466"
"648.00000,94.31715"
"650.00000,78.84620"
"652.00000,95.32202"
"654.00000,95.20023"
"656.00000,86.09106"
"658.00000,80.51263"
"660.00000,80.24931"
"662.00000,96.16518"
"664.00000,133.98340"
"666.00000,162.95351"
"668.00000,214.25334"
"670.00000,281.56696"
"672.00000,354.85175"
"674.00000,488.52850"
"676.00000,736.06232"
"678.00000,1162.88062"
"680.00000,1789.15271"
"682.00000,2481.93945"
"684.00000,2916.80640"
"686.00000,2921.89453"
"688.00000,2512.32764"
"690.00000,1881.77734"
"692.00000,1313.92102"
"694.00000,939.62122"
"696.00000,722.79456"
"698.00000,611.93066"
"700.00000,583.55347"
"702.00000,569.70276"
"704.00000,546.99554"
"706.00000,516.36877"
"708.00000,473.98474"
"710.00000,413.95178"
"712.00000,367.56146"
"714.00000,330.89139"
"716.00000,306.28470"
"718.00000,303.75256"
"720.00000,298.47321"
"722.00000,301.75507"
"724.00000,319.39752"
"726.00000,377.08026"
"728.00000,507.04721"
"730.00000,634.15094"
"732.00000,834.28687"
"734.00000,1154.37390"
"736.00000,1548.38647"
"738.00000,1969.82153"
"740.00000,2206.31860"
"742.00000,2078.12036"
"744.00000,1661.81311"
"746.00000,1244.97314"
"748.00000,905.02954"
"750.00000,696.42993"
"752.00000,594.44946"
"754.00000,523.39008"
"756.00000,476.01831"
"758.00000,436.66150"
"760.00000,447.84406"
"762.00000,506.91519"
"764.00000,545.03540"
"766.00000,644.02844"
"768.00000,830.70111"
"770.00000,1091.26550"
"772.00000,1409.59619"
"774.00000,1737.99951"
"776.00000,1895.76929"
"778.00000,1783.45068"
"780.00000,1454.29565"
"782.00000,1069.06116"
"784.00000,784.21295"
"786.00000,593.14862"
"788.00000,478.53882"
"790.00000,433.92581"
"792.00000,386.94360"
"794.00000,344.93845"
"796.00000,320.70251"
"798.00000,293.18893"
"800.00000,243.72462"
"802.00000,230.73502"
"804.00000,256.95273"
"806.00000,274.79916"
"808.00000,267.21320"
"810.00000,293.28915"
"812.00000,347.53604"
"814.00000,421.71619"
"816.00000,482.51813"
"818.00000,473.05014"
"820.00000,404.68167"
"822.00000,337.40079"
"824.00000,275.29865"
"826.00000,206.95235"
"828.00000,182.82053"
"830.00000,163.04701"
"832.00000,144.25902"
"834.00000,139.20709"
"836.00000,132.48038"
"838.00000,113.41016"
"840.00000,120.22536"
"842.00000,127.83087"
"844.00000,102.28754"
"846.00000,98.46037"
"848.00000,90.48174"
"850.00000,71.32996"
"852.00000,71.79795"
"854.00000,102.95441"
"856.00000,97.82569"
"858.00000,70.65934"
"860.00000,55.64925"
"862.00000,60.59434"
"864.00000,68.48198"
"866.00000,53.23646"
"868.00000,39.40215"
"870.00000,48.81235"
"872.00000,71.17077"
"874.00000,102.29593"
"876.00000,84.74284"
"878.00000,46.15131"
"880.00000,40.67322"
"882.00000,35.51787"
"884.00000,47.54916"
"886.00000,72.52686"
"888.00000,70.32732"
"890.00000,32.56244"
"892.00000,47.60984"
"894.00000,57.56258"
"896.00000,50.98302"
"898.00000,63.12917"
"900.00000,68.19859"
"902.00000,51.20169"
"904.00000,52.73828"
"906.00000,75.66784"
"908.00000,72.58102"
"910.00000,54.62336"
"912.00000,44.78196"
"914.00000,71.31205"
"916.00000,108.09225"
"918.00000,82.72797"
"920.00000,75.68032"
"922.00000,71.89330"
"924.00000,53.26947"
"926.00000,47.32277"
"928.00000,30.59037"
"930.00000,48.36720"
"932.00000,74.37474"
"934.00000,55.24205"
"936.00000,28.23243"
"938.00000,65.42070"
"940.00000,61.66590"
"942.00000,22.78627"
"944.00000,70.19094"
"946.00000,106.01200"
"948.00000,123.54993"
"950.00000,140.65500"
"952.00000,166.75044"
"954.00000,212.28174"
"956.00000,261.20096"
"958.00000,250.09634"
"960.00000,197.54324"
"962.00000,170.10773"
"964.00000,124.64362"
"966.00000,119.43786"
"968.00000,120.88986"
"970.00000,92.76487"
"972.00000,96.46834"
"974.00000,83.18005"
"976.00000,119.05978"
"978.00000,168.58235"
"980.00000,137.02069"
"982.00000,140.71663"
"984.00000,127.51546"
"986.00000,81.46754"
"988.00000,62.89803"
"990.00000,93.48976"
"992.00000,76.54868"
"994.00000,143.24455"
"996.00000,250.98717"
"998.00000,254.25510"
"1000.00000,334.76932"
"1002.00000,354.75192"
"1004.00000,308.92899"
"1006.00000,271.02936"
"1008.00000,208.05463"
"1010.00000,150.98080"
"1012.00000,129.56834"
"1014.00000,124.53232"
"1016.00000,110.41528"
"1018.00000,114.10336"
"1020.00000,89.56148"
"1022.00000,89.64715"
"1024.00000,125.12907"
"1026.00000,104.90553"
"1028.00000,128.44154"
"1030.00000,161.02127"
"1032.00000,120.56667"
"1034.00000,51.33661"
"1036.00000,108.48969"
"1038.00000,101.53506"
"1040.00000,59.81083"
"1042.00000,71.97933"
"1044.00000,52.74368"
"1046.00000,19.97861"
"1048.00000,39.22387"
"1050.00000,91.98545"
"1052.00000,109.03278"
"1054.00000,96.76997"
"1056.00000,76.00770"
"1058.00000,79.25275"
"1060.00000,107.93286"
"1062.00000,119.40735"
"1064.00000,93.11970"
"1066.00000,58.24164"
"1068.00000,75.11704"
"1070.00000,137.80251"
"1072.00000,141.44543"
"1074.00000,169.47966"
"1076.00000,236.15337"
"1078.00000,295.36035"
"1080.00000,350.09726"
"1082.00000,449.03067"
"1084.00000,464.18604"
"1086.00000,403.50809"
"1088.00000,352.53458"
"1090.00000,247.74261"
"1092.00000,225.74112"
"1094.00000,219.62685"
"1096.00000,169.64465"
"1098.00000,163.65829"
"1100.00000,145.33455"
"1102.00000,158.86313"
"1104.00000,154.67874"
"1106.00000,82.54895"
"1108.00000,71.82615"
"1110.00000,80.17793"
"1112.00000,82.15828"
"1114.00000,79.40339"
"1116.00000,74.54282"
"1118.00000,94.94424"
"1120.00000,63.80724"
"1122.00000,32.75620"
"1124.00000,75.09216"
"1126.00000,77.25381"
"1128.00000,38.91743"
"1130.00000,60.53147"
"1132.00000,112.73769"
"1134.00000,84.74168"
"1136.00000,131.32320"
"1138.00000,196.42583"
"1140.00000,210.64441"
"1142.00000,186.22079"
"1144.00000,158.60500"
"1146.00000,162.87782"
"1148.00000,129.23677"
"1150.00000,93.58955"
"1152.00000,146.63094"
"1154.00000,101.49827"
"1156.00000,95.66151"
"1158.00000,128.31676"
"1160.00000,93.67194"
"1162.00000,77.44949"
"1164.00000,142.00427"
"1166.00000,186.41878"
"1168.00000,149.24739"
"1170.00000,123.54324"
"1172.00000,199.23392"
"1174.00000,257.55643"
"1176.00000,280.62646"
"1178.00000,334.51010"
"1180.00000,397.66489"
"1182.00000,451.92392"
"1184.00000,527.23914"
"1186.00000,617.21613"
"1188.00000,664.75378"
"1190.00000,664.83270"
"1192.00000,684.12927"
"1194.00000,726.20001"
"1196.00000,799.90009"
"1198.00000,959.22076"
"1200.00000,1054.52258"
"1202.00000,1152.45117"
"1204.00000,1291.64368"
"1206.00000,1419.49561"
"1208.00000,1641.52148"
"1210.00000,1852.39868"
"1212.00000,1955.78687"
"1214.00000,1918.12549"
"1216.00000,1716.54175"
"1218.00000,1398.97607"
"1220.00000,1118.60632"
"1222.00000,899.05682"
"1224.00000,675.46875"
"1226.00000,559.65698"
"1228.00000,480.53030"
"1230.00000,384.94855"
"1232.00000,316.28714"
"1234.00000,316.63480"
"1236.00000,282.10901"
"1238.00000,257.81937"
"1240.00000,250.08861"
"1242.00000,214.72574"
"1244.00000,232.86453"
"1246.00000,163.97469"
"1248.00000,176.91150"
"1250.00000,283.60571"
"1252.00000,139.75430"
"1254.00000,193.43138"
"1256.00000,274.59888"
"1258.00000,214.10539"
"1260.00000,202.59987"
"1262.00000,314.76447"
"1264.00000,322.49390"
"1266.00000,309.58087"
"1268.00000,408.01529"
"1270.00000,495.55792"
"1272.00000,659.78009"
"1274.00000,860.07635"
"1276.00000,1111.82202"
"1278.00000,1449.54333"
"1280.00000,1717.98010"
"1282.00000,1974.41626"
"1284.00000,2139.17480"
"1286.00000,2175.67285"
"1288.00000,2244.77881"
"1290.00000,2317.87646"
"1292.00000,2289.53247"
"1294.00000,2101.90112"
"1296.00000,1780.41260"
"1298.00000,1413.04016"
"1300.00000,1156.91113"
"1302.00000,969.58557"
"1304.00000,783.21832"
"1306.00000,654.59131"
"1308.00000,545.42096"
"1310.00000,477.31232"
"1312.00000,437.99509"
"1314.00000,397.77921"
"1316.00000,397.89569"
"1318.00000,393.27048"
"1320.00000,417.10617"
"1322.00000,466.67120"
"1324.00000,482.70749"
"1326.00000,609.43982"
"1328.00000,808.23108"
"1330.00000,1050.50220"
"1332.00000,1358.43359"
"1334.00000,1693.12781"
"1336.00000,2100.66968"
"1338.00000,2360.95435"
"1340.00000,2334.59912"
"1342.00000,2175.07153"
"1344.00000,1901.54431"
"1346.00000,1522.39551"
"1348.00000,1172.33582"
"1350.00000,942.70740"
"1352.00000,715.59991"
"1354.00000,631.39233"
"1356.00000,634.65216"
"1358.00000,619.00195"
"1360.00000,605.62659"
"1362.00000,570.13373"
"1364.00000,513.71765"
"1366.00000,477.06982"
"1368.00000,454.00259"
"1370.00000,362.25992"
"1372.00000,301.94910"
"1374.00000,270.79767"
"1376.00000,230.89409"
"1378.00000,204.37491"
"1380.00000,187.80544"
"1382.00000,159.22183"
"1384.00000,202.72780"
"1386.00000,277.88992"
"1388.00000,151.32591"
"1390.00000,267.10568"
"1392.00000,348.84735"
"1394.00000,269.57794"
"1396.00000,371.81293"
"1398.00000,253.13412"
"1400.00000,189.21198"
"1402.00000,220.32556"
"1404.00000,157.68710"
"1406.00000,144.95435"
"1408.00000,134.64137"
"1410.00000,130.41762"
"1412.00000,136.93509"
"1414.00000,114.24889"
"1416.00000,87.74898"
"1418.00000,89.41824"
"1420.00000,135.18239"
"1422.00000,179.17165"
"1424.00000,144.30237"
"1426.00000,136.56229"
"1428.00000,156.09605"
"1430.00000,158.14688"
"1432.00000,163.00191"
"1434.00000,219.67542"
"1436.00000,253.22778"
"1438.00000,197.30801"
"1440.00000,162.06406"
"1442.00000,320.79791"
"1444.00000,341.88425"
"1446.00000,297.31848"
"1448.00000,325.84286"
"1450.00000,323.43811"
"1452.00000,229.61786"
"1454.00000,237.14253"
"1456.00000,276.47452"
"1458.00000,208.33141"
"1460.00000,168.58487"
"1462.00000,149.60019"
"1464.00000,132.47842"
"1466.00000,111.53010"
"1468.00000,110.97479"
"1470.00000,182.32510"
"1472.00000,158.82326"
"1474.00000,134.03549"
"1476.00000,206.39378"
"1478.00000,183.25078"
"1480.00000,172.65738"
"1482.00000,153.71419"
"1484.00000,89.25985"
"1486.00000,42.29079"
"1488.00000,69.80958"
"1490.00000,110.37817"
"1492.00000,133.39305"
"1494.00000,131.67055"
"1496.00000,101.06084"
"1498.00000,165.44894"
"1500.00000,271.23962"
"1502.00000,350.36249"
"1504.00000,414.03745"
"1506.00000,451.67944"
"1508.00000,473.49045"
"1510.00000,536.70520"
"1512.00000,606.25848"
"1514.00000,608.83679"
"1516.00000,844.19617"
"1518.00000,1060.12292"
"1520.00000,1243.68201"
