wavelength,intensity
300.0,26.220506709980093
302.0,48.87772090391814
304.0,47.1022301748695
306.0,46.116248704718494
308.0,96.02649256552789
310.0,119.75711604880341
312.0,127.00732661106856
314.0,155.43895057013663
316.0,180.91470105475386
318.0,181.8192337586792
320.0,205.3287799134273
322.0,253.24762446175404
324.0,257.2603350980204
326.0,231.8441293832939
328.0,227.28854945588537
330.0,256.3702548368697
332.0,255.89718340143727
334.0,244.89379420680294
336.0,243.48936983033605
338.0,226.4805103554599
340.0,226.52690984324573
342.0,231.72195134333555
344.0,227.55547147432952
346.0,267.80352246999587
348.0,272.0939090933132
350.0,293.1351488995389
352.0,301.5674122457581
354.0,318.12758222609517
356.0,323.4931535131047
358.0,335.01496140500615
360.0,365.19765474067805
362.0,359.58812755704844
364.0,363.00684459486627
366.0,326.13577190962275
368.0,311.63539394381155
370.0,310.18674484981216
372.0,299.4934973066066
374.0,306.9942154160993
376.0,289.03547862302787
378.0,290.4559034950183
380.0,307.07264451582773
382.0,348.7698404970915
384.0,367.6371533976661
386.0,404.7316636425242
388.0,461.4172002342801
390.0,497.9373982375467
392.0,557.5771253878112
394.0,629.9655817175613
396.0,702.1269248230261
398.0,781.4220071908753
400.0,916.3576806786908
402.0,1041.476284658342
404.0,1164.4546216373528
406.0,1330.9859835927098
408.0,1523.322367951299
410.0,1705.1010012788215
412.0,1908.1035075731072
414.0,2128.3500595013074
416.0,2433.299570239771
418.0,2730.9635718860645
420.0,3021.7185373019724
422.0,3367.631963041812
424.0,3779.508244221863
426.0,4181.672489730653
428.0,4629.647300277638
430.0,5072.303095279949
432.0,5548.233938364183
434.0,6004.021964593239
436.0,6472.10221177361
438.0,6938.663561368091
440.0,7328.395310354778
442.0,7642.904001118858
444.0,7871.393436544352
446.0,7972.463959190045
448.0,7960.566846900709
450.0,7780.536063192384
452.0,7411.623483938211
454.0,6952.3953628923155
456.0,6378.430938074287
458.0,5736.547558133199
460.0,5073.024321653098
462.0,4411.576289812829
464.0,3778.354947697625
466.0,3221.0774803443587
468.0,2728.728437702768
470.0,2275.7201025489253
472.0,1856.111019042677
474.0,1487.1989675380664
476.0,1230.7930280979986
478.0,984.1161965754958
480.0,751.2118507286389
482.0,598.6071629402151
484.0,481.20299987627953
486.0,356.81658743500384
488.0,273.76302752633427
490.0,196.06774013028684
492.0,180.50438708696788
494.0,110.49015359120065
496.0,95.56049331834639
498.0,71.49401827294548
500.0,68.17534011603738
502.0,57.38064345417905
504.0,61.8992176748201
506.0,58.75860822377513
508.0,69.74953268771931
510.0,71.96809263497072
512.0,84.02506426564871
514.0,77.07312451424886
516.0,94.27549137103615
518.0,102.19773824635217
520.0,104.53441229806097
522.0,122.49584375950013
524.0,92.62289769022281
526.0,77.48858002525554
528.0,70.58049589312533
530.0,38.59380379751477
532.0,85.19561740564461
534.0,102.46189391554937
536.0,121.38628361751343
538.0,98.62828741243433
540.0,107.87514362745081
542.0,143.66979768122303
544.0,174.1951660235714
546.0,169.32179708116996
548.0,214.69397742638375
550.0,286.0741175270318
552.0,328.53890594097004
554.0,356.70960484293596
556.0,464.6730116511607
558.0,508.51715344327516
560.0,611.16662094171
562.0,712.9624107000599
564.0,783.186872793228
566.0,938.9198267700384
568.0,1053.0264088996712
570.0,1177.0952077285524
572.0,1331.9799915782653
574.0,1491.5949278194562
576.0,1688.0302133488542
578.0,1907.360778376093
580.0,2127.68581309536
582.0,2360.4816997704716
584.0,2628.293928951466
586.0,2884.0390969522077
588.0,3212.9567039517897
590.0,3517.835042671191
592.0,3866.009472047897
594.0,4262.409011945228
596.0,4647.20287718651
598.0,5025.976280571165
600.0,5389.044851864743
