"300.00000,-1.69165"
"302.00000,-0.02257"
"304.00000,-0.14794"
"306.00000,2.15771"
"308.00000,3.03642"
"310.00000,-0.22141"
"312.00000,-0.37573"
"314.00000,3.59883"
"316.00000,7.07797"
"318.00000,8.24736"
"320.00000,14.67882"
"322.00000,35.60997"
"324.00000,51.25740"
"326.00000,62.19170"
"328.00000,77.54629"
"330.00000,96.04369"
"332.00000,112.09047"
"334.00000,117.00315"
"336.00000,117.67077"
"338.00000,131.34872"
"340.00000,165.48317"
"342.00000,210.57440"
"344.00000,251.53708"
"346.00000,275.61362"
"348.00000,273.69052"
"350.00000,240.59117"
"352.00000,195.51401"
"354.00000,157.35489"
"356.00000,135.68286"
"358.00000,129.84737"
"360.00000,116.54407"
"362.00000,103.13895"
"364.00000,100.03992"
"366.00000,98.80940"
"368.00000,93.34526"
"370.00000,89.32136"
"372.00000,94.58080"
"374.00000,100.88898"
"376.00000,88.22377"
"378.00000,77.90530"
"380.00000,83.27931"
"382.00000,89.57010"
"384.00000,74.50555"
"386.00000,48.56245"
"388.00000,33.96744"
"390.00000,46.59459"
"392.00000,73.32365"
"394.00000,81.75719"
"396.00000,93.30064"
"398.00000,115.69207"
"400.00000,140.74471"
"402.00000,166.89462"
"404.00000,207.99129"
"406.00000,251.23531"
"408.00000,283.64520"
"410.00000,315.14389"
"412.00000,367.96722"
"414.00000,426.22305"
"416.00000,486.22867"
"418.00000,556.72681"
"420.00000,632.33850"
"422.00000,685.13104"
"424.00000,752.79437"
"426.00000,857.91949"
"428.00000,978.69263"
"430.00000,1082.35425"
"432.00000,1179.91870"
"434.00000,1266.16431"
"436.00000,1353.18091"
"438.00000,1456.93115"
"440.00000,1540.55835"
"442.00000,1597.88733"
"444.00000,1633.21362"
"446.00000,1654.05579"
"448.00000,1657.75647"
"450.00000,1597.12305"
"452.00000,1498.74756"
"454.00000,1406.47217"
"456.00000,1313.39124"
"458.00000,1174.00232"
"460.00000,1037.68970"
"462.00000,927.06964"
"464.00000,816.71039"
"466.00000,687.34985"
"468.00000,570.36163"
"470.00000,480.75760"
"472.00000,407.01321"
"474.00000,332.18301"
"476.00000,260.90814"
"478.00000,216.38959"
"480.00000,197.64806"
"482.00000,178.45746"
"484.00000,135.59711"
"486.00000,82.32964"
"488.00000,57.35570"
"490.00000,60.31948"
"492.00000,56.46183"
"494.00000,39.15423"
"496.00000,27.78058"
"498.00000,25.69104"
"500.00000,26.89990"
"502.00000,30.81170"
"504.00000,32.15819"
"506.00000,39.74249"
"508.00000,51.24232"
"510.00000,54.84444"
"512.00000,54.96955"
"514.00000,62.20077"
"516.00000,47.41431"
"518.00000,16.25647"
"520.00000,18.53559"
"522.00000,11.85406"
"524.00000,38.74828"
"526.00000,66.16501"
"528.00000,43.87242"
