"762.00000,730.03284"
"764.00000,820.43121"
"766.00000,972.76172"
"768.00000,1224.54749"
"770.00000,1607.60901"
"772.00000,2089.37207"
"774.00000,2498.02295"
"776.00000,2630.82935"
"778.00000,2396.94165"
"780.00000,1912.91907"
"782.00000,1423.63123"
"784.00000,1031.50513"
"786.00000,809.62640"
"788.00000,699.35022"
"790.00000,586.43683"
"792.00000,485.60883"
"794.00000,426.42273"
"796.00000,411.87817"
"798.00000,395.84375"
"800.00000,339.80829"
"802.00000,325.41071"
"804.00000,306.02954"
"806.00000,293.86935"
"808.00000,318.72284"
"810.00000,304.35461"
"812.00000,427.65497"
"814.00000,565.17926"
"816.00000,598.63361"
"818.00000,622.97784"
"820.00000,529.19989"
"822.00000,412.38977"
"824.00000,333.09064"
"826.00000,262.59549"
"828.00000,215.69078"
"830.00000,171.92110"
"832.00000,156.93385"
"834.00000,164.53249"
"836.00000,143.70044"
"838.00000,133.52066"
"840.00000,120.01541"
"842.00000,106.79792"
"844.00000,114.36220"
"846.00000,118.73768"
"848.00000,85.78067"
"850.00000,92.35043"
"852.00000,127.20011"
"854.00000,81.86437"
"856.00000,61.67885"
"858.00000,68.88642"
"860.00000,73.69033"
"862.00000,72.18542"
"864.00000,71.82990"
"866.00000,75.25253"
"868.00000,54.37746"
"870.00000,28.49493"
"872.00000,49.98547"
"874.00000,69.24640"
"876.00000,69.82253"
"878.00000,87.79668"
"880.00000,112.68793"
"882.00000,70.08102"
"884.00000,90.23347"
"886.00000,101.35542"
"888.00000,63.50750"
"890.00000,80.87892"
"892.00000,114.11001"
"894.00000,94.12520"
"896.00000,77.77892"
"898.00000,102.90047"
"900.00000,80.65514"
"902.00000,152.43158"
"904.00000,177.21797"
"906.00000,101.91262"
"908.00000,82.37595"
"910.00000,63.28297"
"912.00000,106.66896"
"914.00000,148.25121"
"916.00000,124.19858"
"918.00000,149.10939"
"920.00000,169.81985"
"922.00000,136.25563"
"924.00000,107.98372"
"926.00000,147.73563"
"928.00000,141.62772"
"930.00000,148.45006"
"932.00000,157.11154"
"934.00000,131.07062"
"936.00000,140.54430"
"938.00000,183.63080"
"940.00000,200.54115"
"942.00000,188.34232"
"944.00000,190.42731"
"946.00000,185.50069"
"948.00000,236.31993"
"950.00000,307.88959"
"952.00000,347.62637"
"954.00000,400.00180"
"956.00000,433.84265"
"958.00000,410.86069"
"960.00000,357.53613"
"962.00000,313.55603"
"964.00000,233.69942"
"966.00000,180.88571"
"968.00000,182.60672"
"970.00000,171.20171"
"972.00000,112.50981"
"974.00000,224.26578"
"976.00000,302.91141"
"978.00000,275.31229"
"980.00000,284.92743"
"982.00000,200.24287"
"984.00000,149.30025"
"986.00000,132.22145"
"988.00000,113.54704"
"990.00000,166.24034"
"992.00000,166.93042"
"994.00000,152.08356"
"996.00000,223.01428"
"998.00000,345.07037"
"1000.00000,344.49063"
"1002.00000,396.99814"
"1004.00000,375.12128"
"1006.00000,219.00916"
"1008.00000,211.96509"
"1010.00000,179.58508"
"1012.00000,162.79713"
"1014.00000,167.37389"
"1016.00000,111.47945"
"1018.00000,84.00234"
"1020.00000,123.65202"
"1022.00000,139.36317"
"1024.00000,113.14155"
"1026.00000,152.18658"
"1028.00000,159.90134"
"1030.00000,183.45853"
"1032.00000,217.96327"
"1034.00000,203.57471"
"1036.00000,194.08315"
"1038.00000,110.31737"
"1040.00000,71.23013"
"1042.00000,138.95908"
"1044.00000,139.89542"
"1046.00000,76.74093"
"1048.00000,93.24454"
"1050.00000,160.31107"
"1052.00000,147.27621"
"1054.00000,120.28287"
"1056.00000,142.48061"
"1058.00000,172.56311"
"1060.00000,165.75409"
"1062.00000,160.99040"
"1064.00000,200.04250"
"1066.00000,208.78975"
"1068.00000,210.94415"
"1070.00000,265.40045"
"1072.00000,285.56635"
"1074.00000,343.75253"
"1076.00000,439.28897"
"1078.00000,525.50031"
"1080.00000,601.45087"
"1082.00000,680.95410"
"1084.00000,737.46094"
"1086.00000,673.83307"
"1088.00000,495.05127"
"1090.00000,405.83716"
"1092.00000,320.95163"
"1094.00000,266.36572"
"1096.00000,261.39328"
"1098.00000,225.53044"
"1100.00000,211.18076"
"1102.00000,152.20703"
"1104.00000,72.08509"
"1106.00000,67.50008"
"1108.00000,120.50388"
"1110.00000,148.28137"
"1112.00000,145.01436"
"1114.00000,153.90039"
"1116.00000,183.95645"
"1118.00000,172.13745"
"1120.00000,78.42999"
"1122.00000,21.52234"
"1124.00000,92.40382"
"1126.00000,150.54651"
"1128.00000,168.11072"
"1130.00000,121.43773"
"1132.00000,104.41607"
"1134.00000,215.92560"
"1136.00000,219.00340"
"1138.00000,227.05051"
"1140.00000,284.45135"
"1142.00000,295.93430"
"1144.00000,260.32431"
"1146.00000,239.39598"
"1148.00000,266.14450"
"1150.00000,299.06946"
"1152.00000,276.42120"
"1154.00000,236.49620"
"1156.00000,234.69768"
"1158.00000,222.28725"
"1160.00000,179.63228"
"1162.00000,213.88730"
"1164.00000,223.54996"
"1166.00000,216.12141"
"1168.00000,231.35074"
"1170.00000,247.77968"
"1172.00000,260.36722"
"1174.00000,307.84988"
"1176.00000,338.16864"
"1178.00000,365.42072"
"1180.00000,529.67078"
"1182.00000,601.39001"
"1184.00000,683.09363"
