wavelength,intensity
300.0,37.63506840771059
302.0,58.07958289362918
304.0,27.920074853945735
306.0,78.46987493416363
308.0,90.98196853681931
310.0,115.16944112805498
312.0,149.85906902656635
314.0,171.978432228379
316.0,183.0688324618153
318.0,187.5045131652055
320.0,201.34607385988627
322.0,237.7580361894423
324.0,244.6386603114788
326.0,228.75880868431614
328.0,227.27663156550167
330.0,250.78265867767678
332.0,268.3675139163604
334.0,245.09980822131755
336.0,237.36716798023005
338.0,224.0568385389751
340.0,232.22867585747176
342.0,216.5967090318498
344.0,238.38294494935982
346.0,236.14884571118523
348.0,276.6958036379858
350.0,295.69565604500974
352.0,314.80345577101514
354.0,318.76518496853043
356.0,319.56100837714894
358.0,326.05182605730334
360.0,325.54299026586716
362.0,367.5030589711616
364.0,372.09389432340754
366.0,350.7293327456126
368.0,291.5688933674449
370.0,284.0886506382485
372.0,278.50080698441695
374.0,305.03528010945627
376.0,286.4429300818526
378.0,271.89660417086384
380.0,322.5788141377386
382.0,342.0615313140715
384.0,372.9416588378902
386.0,426.2593416238335
388.0,451.48688416070314
390.0,508.4471064678218
392.0,565.9892979291744
394.0,607.7754111795814
396.0,693.9335571736168
398.0,761.9792754731626
400.0,900.5336395427431
402.0,1046.0793687836785
404.0,1170.5561571082285
406.0,1321.739848178048
408.0,1514.720482586462
410.0,1704.8126844376986
412.0,1931.3714164155172
414.0,2149.784219523166
416.0,2424.0926875049563
418.0,2710.216826631606
420.0,3024.7319467915695
422.0,3379.764669360917
424.0,3766.9857003998973
426.0,4178.1767418870195
428.0,4628.47940353961
430.0,5082.632970512288
432.0,5555.589595300144
434.0,6021.490881824366
436.0,6484.937091738543
438.0,6964.392322395294
440.0,7334.797299372557
442.0,7661.156982506472
444.0,7860.235654643504
446.0,7970.403832874545
448.0,7949.251088585728
450.0,7762.276392610881
452.0,7419.811067208536
454.0,6954.196928830479
456.0,6375.577361912066
458.0,5737.920146030437
460.0,5080.995896572402
462.0,4414.737095380506
464.0,3783.73988680026
466.0,3210.0324193886686
468.0,2719.6223242629394
470.0,2256.621125470013
472.0,1841.7471190964488
474.0,1492.1764840350277
476.0,1229.052623209695
478.0,964.5316455467748
480.0,763.7489861859937
482.0,595.4921806708802
484.0,491.7624542920096
486.0,364.9009999909824
488.0,255.44016540862575
490.0,204.08610175535622
492.0,144.31778063743167
494.0,123.84771308267466
496.0,96.01410529761651
498.0,92.06348332231521
500.0,61.91233440233205
502.0,63.100963827618
504.0,53.40502113727322
506.0,45.065683320128926
508.0,62.20711120267609
510.0,76.71771586659219
512.0,74.4643344076108
514.0,86.87234011541253
516.0,97.61214003552148
518.0,99.20477324766017
520.0,111.14877597595509
522.0,102.71880518004932
524.0,132.80518198628295
526.0,76.42749575762092
528.0,58.27246496895328
530.0,58.56667714773437
532.0,94.69103344149609
534.0,129.27909380583398
536.0,104.3149310205778
538.0,127.35849818772792
540.0,97.28250266478723
542.0,123.36503859655198
544.0,180.7757041114104
546.0,180.2250319853588
548.0,216.3923650462504
550.0,290.7310281525719
552.0,330.49797461040936
554.0,391.6311870556565
556.0,448.4158171842583
558.0,528.0871419633145
560.0,605.3167312228103
562.0,710.2210036786724
564.0,791.4592450720991
566.0,924.2587363425255
568.0,1057.59046109989
570.0,1193.5643404818848
572.0,1337.4701441623959
574.0,1481.606429749307
576.0,1686.1922093810997
578.0,1902.0257693909564
580.0,2120.7797853578713
582.0,2363.8193775538357
584.0,2629.811449975455
586.0,2920.146885887625
588.0,3208.8887863143127
590.0,3507.2150123578836
592.0,3875.5235114490033
594.0,4262.010896671732
596.0,4658.962252993097
598.0,5017.751483920769
600.0,5369.098755212064
602.0,5742.518924409902
604.0,6031.326027180703
606.0,6263.4602769367575
608.0,6406.879344359845
610.0,6430.100554522758
612.0,6348.4937548550515
614.0,6181.236106579719
616.0,5994.066047976181
618.0,5663.955392890882
620.0,5249.662178493716
622.0,4750.040107444089
624.0,4251.007004866059
626.0,3747.0809756890803
628.0,3263.9709810681406
630.0,2797.7228248757347
632.0,2402.113552926543
634.0,2060.519815450255
636.0,1791.3200846912139
638.0,1561.0885324171572
640.0,1309.9925806082204
642.0,1127.4870982524158
644.0,986.4145119610691
646.0,831.737634925674
648.0,722.8590994396769
650.0,622.1211989577375
652.0,513.3270978650253
654.0,436.2277363772371
656.0,397.6821847005877
658.0,335.265130780965
660.0,303.51830499871875
662.0,258.9464109440466
664.0,242.93971157067838
666.0,248.6921316354834
668.0,269.496620291639
670.0,270.0812054368521
672.0,278.35793931937116
674.0,268.04693690509924
676.0,253.51620534846944
678.0,241.92509484652035
680.0,253.27624106130057
682.0,249.07130647632357
684.0,214.94599577485064
686.0,222.81375747644498
688.0,189.8278204803836
690.0,217.54251569437974
692.0,190.53376329909463
694.0,183.11022405973148
696.0,161.5453392923726
698.0,177.95765951117664
700.0,188.92342664198065
702.0,166.88464252277444
704.0,170.25000305121543
706.0,175.37047586053737
708.0,146.9743139074497
710.0,179.44242529789423
712.0,186.93628508310056
714.0,126.21242233935138
716.0,123.88626534914515
718.0,103.80009730405506
720.0,81.26743525531386
722.0,75.04869859972926
724.0,73.95334633122364
726.0,72.87359378789714
728.0,50.63468320894733
730.0,73.80712362046667
732.0,91.04004188540024
734.0,60.64046997069235
736.0,50.0832234767581
738.0,79.82603146791196
740.0,69.44137273790658
742.0,64.73082127688069
744.0,40.158666509947324
746.0,43.77694035739177
748.0,49.730193058697
750.0,49.42145349041414
752.0,72.0905604550329
754.0,56.278290654188545
756.0,40.94487740713633
758.0,73.02967499804939
760.0,71.81232594131396
762.0,46.26814896770609
764.0,72.92496161579257
766.0,78.16578491441649
768.0,77.34203301414922
770.0,84.884785074928
772.0,70.07093879157779
774.0,60.404154516700615
776.0,43.251469400334855
778.0,18.45960108252485
780.0,18.533261264113566
782.0,53.81297543343074
784.0,54.498319044972746
786.0,26.700511211492962
788.0,50.81159447725476
790.0,59.06541879394408
792.0,69.37224030517258
794.0,88.82699760589415
796.0,87.1432778967519
798.0,82.63265885940078
800.0,70.90659157949256
802.0,77.50069672285396
804.0,18.096836689039115
806.0,16.684178416178014
808.0,-2.0126739764574637
810.0,25.42272263738173
812.0,57.173678251222725
814.0,71.7072814810093
816.0,51.89015533884327
818.0,47.777515276180196
820.0,88.71845683210738
822.0,59.668707785370216
824.0,26.02143185656778
826.0,38.93076115938054
828.0,42.25441869399302
830.0,46.0546689384679
832.0,49.98257388809145
834.0,49.67561634334845
836.0,37.50016429391502
