"300.00000,0.80375"
"302.00000,1.31900"
"304.00000,2.17654"
"306.00000,1.54761"
"308.00000,3.38998"
"310.00000,8.14186"
"312.00000,9.09187"
"314.00000,5.23786"
"316.00000,4.42807"
"318.00000,7.51508"
"320.00000,8.26103"
"322.00000,5.84927"
"324.00000,9.97077"
"326.00000,20.54589"
"328.00000,32.46992"
"330.00000,41.56579"
"332.00000,42.85847"
"334.00000,49.39081"
"336.00000,59.65392"
"338.00000,62.62654"
"340.00000,63.90727"
"342.00000,77.32105"
"344.00000,100.43502"
"346.00000,122.25214"
"348.00000,125.78276"
"350.00000,88.42301"
"352.00000,63.39446"
"354.00000,68.57192"
"356.00000,67.38416"
"358.00000,38.42110"
"360.00000,28.74626"
"362.00000,36.08253"
"364.00000,41.74302"
"366.00000,44.51660"
"368.00000,34.86042"
"370.00000,21.22138"
"372.00000,17.21811"
"374.00000,24.77599"
"376.00000,31.26916"
"378.00000,31.55732"
"380.00000,26.25272"
"382.00000,25.36381"
"384.00000,37.69478"
"386.00000,49.78193"
"388.00000,48.50835"
"390.00000,36.12616"
"392.00000,25.22238"
"394.00000,23.34707"
"396.00000,22.96487"
"398.00000,18.34231"
"400.00000,14.57893"
"402.00000,20.00371"
"404.00000,29.76959"
"406.00000,36.71938"
"408.00000,32.77624"
"410.00000,24.52460"
"412.00000,33.44773"
"414.00000,49.82298"
"416.00000,47.32772"
"418.00000,38.11561"
"420.00000,50.91148"
"422.00000,56.74985"
"424.00000,62.80128"
"426.00000,82.10461"
"428.00000,109.75134"
"430.00000,128.96259"
"432.00000,139.86891"
"434.00000,142.27905"
"436.00000,146.37312"
"438.00000,164.51323"
"440.00000,185.68796"
"442.00000,197.61427"
"444.00000,193.03549"
"446.00000,179.45880"
"448.00000,176.82404"
"450.00000,187.12059"
"452.00000,188.22008"
"454.00000,170.92438"
"456.00000,146.94337"
"458.00000,124.29073"
"460.00000,111.44405"
"462.00000,106.16829"
"464.00000,99.40791"
"466.00000,85.43429"
"468.00000,66.65123"
"470.00000,56.11540"
"472.00000,52.45613"
"474.00000,44.97602"
"476.00000,40.15083"
"478.00000,38.31024"
"480.00000,41.90198"
"482.00000,47.74980"
"484.00000,45.49086"
"486.00000,40.31604"
"488.00000,38.48404"
"490.00000,40.80629"
"492.00000,39.00566"
"494.00000,23.13597"
"496.00000,17.20601"
"498.00000,20.17845"
"500.00000,25.00300"
"502.00000,38.41738"
"504.00000,42.77832"
"506.00000,48.15178"
"508.00000,56.36531"
"510.00000,51.97088"
"512.00000,34.28666"
"514.00000,29.84486"
"516.00000,26.99174"
"518.00000,17.69252"
"520.00000,23.16791"
"522.00000,26.80494"
"524.00000,34.59082"
"526.00000,46.75612"
"528.00000,55.63040"
"530.00000,64.24839"
"532.00000,50.24741"
"534.00000,37.16843"
"536.00000,40.09464"
"538.00000,36.49754"
"540.00000,44.77930"
"542.00000,47.54907"
"544.00000,42.35964"
"546.00000,40.30593"
"548.00000,30.59663"
"550.00000,33.06406"
"552.00000,31.76720"
"554.00000,18.48643"
"556.00000,17.40260"
"558.00000,21.14821"
"560.00000,28.28495"
"562.00000,31.91006"
"564.00000,26.72464"
"566.00000,22.84537"
"568.00000,16.77333"
"570.00000,19.07899"
"572.00000,27.33548"
"574.00000,25.18312"
"576.00000,31.73276"
"578.00000,34.94828"
"580.00000,32.16635"
"582.00000,41.16206"
"584.00000,70.35799"
"586.00000,93.94176"
"588.00000,97.96496"
"590.00000,94.23753"
"592.00000,105.01292"
"594.00000,132.02788"
"596.00000,150.10440"
"598.00000,150.16859"
"600.00000,142.73228"
"602.00000,136.70639"
"604.00000,141.41853"
"606.00000,146.18628"
"608.00000,142.04803"
"610.00000,136.80312"
"612.00000,136.39124"
"614.00000,119.16731"
"616.00000,101.55739"
"618.00000,103.98954"
"620.00000,97.45493"
"622.00000,86.71569"
"624.00000,70.85661"
"626.00000,56.98872"
"628.00000,55.24298"
"630.00000,43.86638"
"632.00000,36.41019"
"634.00000,36.70715"
"636.00000,43.34761"
"638.00000,64.62157"
"640.00000,67.43279"
"642.00000,79.42233"
"644.00000,99.89783"
"646.00000,90.28945"
"648.00000,87.80212"
"650.00000,74.62403"
"652.00000,51.47343"
"654.00000,42.96784"
"656.00000,52.87598"
"658.00000,64.27901"
"660.00000,87.07088"
"662.00000,94.89034"
"664.00000,66.29549"
"666.00000,97.10423"
"668.00000,145.96259"
"670.00000,187.58434"
"672.00000,252.79877"
"674.00000,370.57809"
"676.00000,549.74396"
"678.00000,839.80292"
"680.00000,1243.38049"
"682.00000,1656.44312"
"684.00000,1910.79858"
"686.00000,1889.12024"
"688.00000,1620.94482"
"690.00000,1237.78235"
"692.00000,873.34198"
"694.00000,615.19934"
"696.00000,481.39084"
"698.00000,421.94772"
"700.00000,381.64490"
"702.00000,372.24390"
"704.00000,363.83337"
"706.00000,335.76505"
"708.00000,301.98090"
"710.00000,276.82999"
"712.00000,215.37375"
"714.00000,188.38409"
"716.00000,209.11966"
"718.00000,207.48773"
"720.00000,195.38698"
"722.00000,189.52008"
"724.00000,211.23607"
"726.00000,255.01877"
"728.00000,302.17941"
"730.00000,421.25671"
"732.00000,577.49365"
"734.00000,780.46350"
"736.00000,1071.48108"
"738.00000,1344.89014"
"740.00000,1478.01233"
"742.00000,1383.72534"
"744.00000,1118.49438"
"746.00000,856.76080"
"748.00000,624.50537"
"750.00000,477.85403"
"752.00000,405.49326"
"754.00000,345.25076"
"756.00000,313.82712"
"758.00000,304.02911"
"760.00000,312.16364"
"762.00000,334.53665"
"764.00000,372.42023"
"766.00000,468.92236"
"768.00000,597.77350"
"770.00000,776.10968"
"772.00000,1018.45465"
"774.00000,1203.32983"
"776.00000,1272.09802"
"778.00000,1178.57983"
"780.00000,952.14307"
"782.00000,713.93237"
"784.00000,525.92737"
"786.00000,409.23941"
"788.00000,336.56430"
"790.00000,273.35156"
"792.00000,232.04778"
"794.00000,214.47388"
"796.00000,222.41150"
"798.00000,217.67085"
"800.00000,164.52264"
"802.00000,164.31024"
"804.00000,147.92960"
"806.00000,146.16669"
"808.00000,208.70308"
"810.00000,187.18234"
"812.00000,225.58112"
"814.00000,283.30176"
"816.00000,288.28735"
"818.00000,303.41397"
"820.00000,290.73288"
"822.00000,239.14279"
"824.00000,183.49734"
"826.00000,145.39301"
"828.00000,98.25104"
"830.00000,85.29742"
"832.00000,87.30299"
"834.00000,82.68636"
"836.00000,84.01685"
"838.00000,54.09040"
"840.00000,50.15460"
"842.00000,78.59974"
"844.00000,85.49413"
"846.00000,64.67269"
"848.00000,61.72959"
"850.00000,71.03539"
"852.00000,63.00188"
"854.00000,44.67949"
"856.00000,58.64633"
"858.00000,44.74240"
"860.00000,24.84809"
"862.00000,40.49503"
"864.00000,24.84280"
"866.00000,43.93253"
"868.00000,54.64306"
"870.00000,32.76536"
"872.00000,36.01884"
"874.00000,32.60065"
"876.00000,38.31826"
"878.00000,46.60254"
